GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002682	Regulation of immune system process	8.73888527607e-05	8.73888527607e-05	+1	ENSG00000072694,ENSG00000099341,ENSG00000100813,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000117222,ENSG00000118513,ENSG00000121807,ENSG00000126368,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000162747,ENSG00000163466,ENSG00000163823,ENSG00000166278,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000186075,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204305,ENSG00000204388,ENSG00000204389,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000237541,ENSG00000242252,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848
GO:0001906	Cell killing	8.96344219162e-05	8.96344219162e-05	+1	ENSG00000072694,ENSG00000143669,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000172232,ENSG00000196126,ENSG00000197561,ENSG00000204287,ENSG00000204305,ENSG00000204475,ENSG00000206047,ENSG00000234745,ENSG00000239839,ENSG00000240247
GO:0048534	Hematopoietic or lymphoid organ development	0.0001032786409244	0.0001032786409244	+1	ENSG00000072694,ENSG00000092067,ENSG00000099341,ENSG00000100813,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000117222,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000163823,ENSG00000171777,ENSG00000173585,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000204287,ENSG00000204301,ENSG00000204305,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204613,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234745,ENSG00000242252,ENSG00000245848,ENSG00000250067
GO:1990869	Cellular response to chemokine	0.0001123605798254	0.0001123605798254	+1	ENSG00000111252,ENSG00000121807,ENSG00000160791,ENSG00000163464,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000180871,ENSG00000183625,ENSG00000213088
GO:1990868	Response to chemokine	0.0001123605798254	0.0001123605798254	+1	ENSG00000111252,ENSG00000121807,ENSG00000160791,ENSG00000163464,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000180871,ENSG00000183625,ENSG00000213088
GO:0002227	Innate immune response in mucosa	0.0001188551319157	0.0001188551319157	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0048584	Positive regulation of response to stimulus	0.0001214045726149	0.0001214045726149	+1	ENSG00000072694,ENSG00000095739,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108423,ENSG00000117691,ENSG00000118513,ENSG00000121807,ENSG00000133059,ENSG00000140575,ENSG00000141736,ENSG00000154822,ENSG00000163466,ENSG00000163823,ENSG00000166278,ENSG00000171631,ENSG00000171777,ENSG00000172232,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000184144,ENSG00000188766,ENSG00000189050,ENSG00000189319,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204310,ENSG00000204344,ENSG00000204356,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204516,ENSG00000204531,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000237541,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848
GO:0050832	Defense response to fungus	0.0001276390332611	0.0001276390332611	+1	ENSG00000005381,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0002366	Leukocyte activation involved in immune response	0.0001364258428618	0.0001364258428618	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000154822,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204287,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0002444	Myeloid leukocyte mediated immunity	0.0001495640141792	0.0001495640141792	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0002263	Cell activation involved in immune response	0.0001535407262413	0.0001535407262413	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000154822,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204287,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0007166	Cell surface receptor signaling pathway	0.000156167207794	0.000156167207794	+1	ENSG00000011143,ENSG00000072694,ENSG00000075785,ENSG00000095739,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108423,ENSG00000108443,ENSG00000111252,ENSG00000113368,ENSG00000121807,ENSG00000127837,ENSG00000133059,ENSG00000139610,ENSG00000140575,ENSG00000141736,ENSG00000141738,ENSG00000146904,ENSG00000154822,ENSG00000159840,ENSG00000160791,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000163823,ENSG00000171631,ENSG00000171777,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000184144,ENSG00000186010,ENSG00000188766,ENSG00000189319,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204310,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204435,ENSG00000204463,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204544,ENSG00000204580,ENSG00000204616,ENSG00000213088,ENSG00000213760,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000245848,ENSG00000250067,ENSG00000263020
GO:0043312	Neutrophil degranulation	0.0001749935182747	0.0001749935182747	+1	ENSG00000005381,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0002283	Neutrophil activation involved in immune response	0.0002107170428409	0.0002107170428409	+1	ENSG00000005381,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0002684	Positive regulation of immune system process	0.0003188774394665	0.0003188774394665	+1	ENSG00000072694,ENSG00000099341,ENSG00000100813,ENSG00000108344,ENSG00000118513,ENSG00000121807,ENSG00000154822,ENSG00000163466,ENSG00000163823,ENSG00000166278,ENSG00000179344,ENSG00000180871,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204305,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204516,ENSG00000204544,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000237541,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848
GO:0002446	Neutrophil mediated immunity	0.0003257449397208	0.0003257449397208	+1	ENSG00000005381,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0050778	Positive regulation of immune response	0.000362038683923	0.000362038683923	+1	ENSG00000072694,ENSG00000099341,ENSG00000108344,ENSG00000118513,ENSG00000121807,ENSG00000154822,ENSG00000163466,ENSG00000166278,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204463,ENSG00000204475,ENSG00000204516,ENSG00000204544,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000237541,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0002520	Immune system development	0.0003701972227459	0.0003701972227459	+1	ENSG00000072694,ENSG00000092067,ENSG00000099341,ENSG00000100813,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000117222,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000163823,ENSG00000171777,ENSG00000173585,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000204287,ENSG00000204301,ENSG00000204305,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204613,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234745,ENSG00000242252,ENSG00000245848,ENSG00000250067
GO:0030097	Hemopoiesis	0.0004130332233666	0.0004130332233666	+1	ENSG00000072694,ENSG00000092067,ENSG00000099341,ENSG00000100813,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000117222,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000141736,ENSG00000154822,ENSG00000161405,ENSG00000163823,ENSG00000171777,ENSG00000173585,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000204287,ENSG00000204301,ENSG00000204305,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204613,ENSG00000232810,ENSG00000234745,ENSG00000242252,ENSG00000245848,ENSG00000250067
GO:0034097	Response to cytokine	0.0004331780527194	0.0004331780527194	+1	ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000111252,ENSG00000113368,ENSG00000121807,ENSG00000126368,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000172215,ENSG00000173578,ENSG00000173585,ENSG00000179344,ENSG00000180871,ENSG00000183625,ENSG00000186010,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204310,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204472,ENSG00000204525,ENSG00000204616,ENSG00000213088,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000245848
GO:0002275	Myeloid cell activation involved in immune response	0.0004845952117466	0.0004845952117466	+1	ENSG00000005381,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0009620	Response to fungus	0.0013158050388492	0.0013158050388492	+1	ENSG00000005381,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0002385	Mucosal immune response	0.0013689261180954	0.0013689261180954	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0042742	Defense response to bacterium	0.0015566110613331	0.0015566110613331	+1	ENSG00000005381,ENSG00000073605,ENSG00000092067,ENSG00000121053,ENSG00000143669,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000197561,ENSG00000206047,ENSG00000226979,ENSG00000232810,ENSG00000239839,ENSG00000240247
GO:0042221	Response to chemical	0.0021032459518859	0.0021032459518859	+1	ENSG00000005381,ENSG00000072694,ENSG00000092067,ENSG00000095739,ENSG00000099338,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000108443,ENSG00000110934,ENSG00000111252,ENSG00000113368,ENSG00000117222,ENSG00000117691,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000133059,ENSG00000140575,ENSG00000141736,ENSG00000141738,ENSG00000141741,ENSG00000143669,ENSG00000146904,ENSG00000159840,ENSG00000160791,ENSG00000163464,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167642,ENSG00000171631,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000184144,ENSG00000186010,ENSG00000188766,ENSG00000189050,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000198369,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204435,ENSG00000204444,ENSG00000204463,ENSG00000204472,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204616,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000213676,ENSG00000213760,ENSG00000224389,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000241370,ENSG00000242252,ENSG00000244355,ENSG00000245848,ENSG00000255552,ENSG00000255713
GO:0019731	Antibacterial humoral response	0.0025812022366613	0.0025812022366613	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0002251	Organ or tissue specific immune response	0.0027453413327371	0.0027453413327371	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0048583	Regulation of response to stimulus	0.0039668454107648	0.0039668454107648	+1	ENSG00000011143,ENSG00000072694,ENSG00000075785,ENSG00000089639,ENSG00000095739,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000108423,ENSG00000108443,ENSG00000111252,ENSG00000117691,ENSG00000118513,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000133059,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000154822,ENSG00000159840,ENSG00000162747,ENSG00000163466,ENSG00000163629,ENSG00000163823,ENSG00000166278,ENSG00000168243,ENSG00000171631,ENSG00000171777,ENSG00000172232,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000184144,ENSG00000186010,ENSG00000188766,ENSG00000189050,ENSG00000189319,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000198563,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204310,ENSG00000204314,ENSG00000204344,ENSG00000204356,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204420,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204544,ENSG00000204569,ENSG00000204599,ENSG00000204610,ENSG00000204614,ENSG00000213654,ENSG00000213676,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000237541,ENSG00000242252,ENSG00000243649,ENSG00000244255,ENSG00000244355,ENSG00000244731,ENSG00000245848,ENSG00000250067,ENSG00000255552
GO:0050829	Defense response to Gram-negative bacterium	0.0046320584477635	0.0046320584477635	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000172232,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0060333	Interferon-gamma-mediated signaling pathway	0.0046320584477635	0.0046320584477635	+1	ENSG00000196126,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204525,ENSG00000204616,ENSG00000234127,ENSG00000234745,ENSG00000237541
GO:0050896	Response to stimulus	0.0047421139300957	0.0047421139300957	+1	ENSG00000005381,ENSG00000011143,ENSG00000064547,ENSG00000066027,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000089639,ENSG00000092067,ENSG00000095739,ENSG00000095787,ENSG00000099338,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000108423,ENSG00000108443,ENSG00000110934,ENSG00000111252,ENSG00000112773,ENSG00000113368,ENSG00000117222,ENSG00000117691,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000127837,ENSG00000129951,ENSG00000133059,ENSG00000139610,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000141738,ENSG00000141741,ENSG00000143669,ENSG00000146904,ENSG00000154822,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000163545,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000165660,ENSG00000166278,ENSG00000167419,ENSG00000167642,ENSG00000167914,ENSG00000168243,ENSG00000171631,ENSG00000171777,ENSG00000172057,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000173991,ENSG00000175591,ENSG00000178093,ENSG00000179168,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000184144,ENSG00000186010,ENSG00000188766,ENSG00000189050,ENSG00000189319,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000198563,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204314,ENSG00000204315,ENSG00000204344,ENSG00000204356,ENSG00000204371,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204410,ENSG00000204420,ENSG00000204435,ENSG00000204444,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204544,ENSG00000204569,ENSG00000204574,ENSG00000204580,ENSG00000204590,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000213676,ENSG00000213719,ENSG00000213722,ENSG00000213760,ENSG00000213780,ENSG00000224389,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000241370,ENSG00000242252,ENSG00000243649,ENSG00000244255,ENSG00000244355,ENSG00000244731,ENSG00000245848,ENSG00000250067,ENSG00000255152,ENSG00000255552,ENSG00000255713,ENSG00000263020
GO:0060326	Cell chemotaxis	0.0065645323932699	0.0065645323932699	+1	ENSG00000110934,ENSG00000121807,ENSG00000143669,ENSG00000160791,ENSG00000163464,ENSG00000163823,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000180871,ENSG00000183625,ENSG00000204472,ENSG00000206047,ENSG00000213654,ENSG00000240247
GO:0002478	Antigen processing and presentation of exogenous peptide antigen	0.0067759400554699	0.0067759400554699	+1	ENSG00000072694,ENSG00000075785,ENSG00000099341,ENSG00000108344,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204525,ENSG00000234745,ENSG00000237541
GO:0051716	Cellular response to stimulus	0.0068339539837337	0.0068339539837337	+1	ENSG00000005381,ENSG00000011143,ENSG00000064547,ENSG00000066027,ENSG00000072694,ENSG00000075785,ENSG00000089639,ENSG00000092067,ENSG00000095739,ENSG00000095787,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000108423,ENSG00000108443,ENSG00000110934,ENSG00000111252,ENSG00000113368,ENSG00000117222,ENSG00000117691,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000127837,ENSG00000129951,ENSG00000133059,ENSG00000139610,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000141738,ENSG00000143669,ENSG00000146904,ENSG00000154822,ENSG00000159840,ENSG00000160791,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000163545,ENSG00000163629,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000167419,ENSG00000167642,ENSG00000168243,ENSG00000171631,ENSG00000171777,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000175591,ENSG00000178093,ENSG00000179168,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000184144,ENSG00000186010,ENSG00000188766,ENSG00000189050,ENSG00000189319,ENSG00000196126,ENSG00000196218,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198369,ENSG00000198502,ENSG00000198563,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204308,ENSG00000204310,ENSG00000204314,ENSG00000204344,ENSG00000204356,ENSG00000204371,ENSG00000204388,ENSG00000204389,ENSG00000204390,ENSG00000204410,ENSG00000204420,ENSG00000204435,ENSG00000204444,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204531,ENSG00000204544,ENSG00000204569,ENSG00000204580,ENSG00000204590,ENSG00000204599,ENSG00000204610,ENSG00000204614,ENSG00000204616,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000213676,ENSG00000213719,ENSG00000213722,ENSG00000213760,ENSG00000213780,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000244355,ENSG00000245848,ENSG00000250067,ENSG00000255152,ENSG00000255552,ENSG00000255713,ENSG00000263020
GO:0071346	Cellular response to interferon-gamma	0.0076266060696115	0.0076266060696115	+1	ENSG00000159840,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204472,ENSG00000204525,ENSG00000204616,ENSG00000234127,ENSG00000234745,ENSG00000237541
GO:0045055	Regulated exocytosis	0.0088495974736314	0.0088495974736314	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000162747,ENSG00000163464,ENSG00000163472,ENSG00000164821,ENSG00000172057,ENSG00000172232,ENSG00000180871,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204424,ENSG00000204435,ENSG00000204525,ENSG00000206047,ENSG00000234745,ENSG00000240247
GO:0002253	Activation of immune response	0.0100375118449178	0.0100375118449178	+1	ENSG00000072694,ENSG00000099341,ENSG00000108344,ENSG00000154822,ENSG00000163466,ENSG00000166278,ENSG00000196126,ENSG00000196735,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204463,ENSG00000204475,ENSG00000204516,ENSG00000204544,ENSG00000224389,ENSG00000237541,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0019884	Antigen processing and presentation of exogenous antigen	0.0107702970623096	0.0107702970623096	+1	ENSG00000072694,ENSG00000075785,ENSG00000099341,ENSG00000108344,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204525,ENSG00000234745,ENSG00000237541
GO:0071219	Cellular response to molecule of bacterial origin	0.0110691136957784	0.0110691136957784	+1	ENSG00000072694,ENSG00000092067,ENSG00000108342,ENSG00000126368,ENSG00000160791,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000204498,ENSG00000206047,ENSG00000232810,ENSG00000239839,ENSG00000240247
GO:0002237	Response to molecule of bacterial origin	0.0113684118144912	0.0113684118144912	+1	ENSG00000005381,ENSG00000072694,ENSG00000092067,ENSG00000108342,ENSG00000126368,ENSG00000160791,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000197561,ENSG00000204498,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000239839,ENSG00000240247
GO:0031640	Killing of cells of other organism	0.0154585756543519	0.0154585756543519	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000172232,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
GO:0050830	Defense response to Gram-positive bacterium	0.0158915505226574	0.0158915505226574	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000206047,ENSG00000226979,ENSG00000232810,ENSG00000239839,ENSG00000240247
GO:0048002	Antigen processing and presentation of peptide antigen	0.0185783014185118	0.0185783014185118	+1	ENSG00000072694,ENSG00000075785,ENSG00000099341,ENSG00000108344,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000198502,ENSG00000204287,ENSG00000204525,ENSG00000234745,ENSG00000237541
GO:0061844	Antimicrobial humoral immune response mediated by antimicrobial peptide	0.0226102472407399	0.0226102472407399	+1	ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000197561,ENSG00000206047,ENSG00000239839,ENSG00000240247
